apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
sa soeur classificatoire (soeur du frére) ;hite sang ;hno-hiri-n yek ;hiti ne-ek ;hno-iri ne-ek ;hirei li-ek 
benjamin ;phweédi (0) ;fweedi ;pmweedi ;pmweedi/ knuxuleoot ;knuuleoot (W) 
son cousin croisé ;kaa-beege-n (T) ;beege-n ;hakneli-n ;hangeli-n ;haxeli-n 
son enfant ;nai-n ;nai-n ;nai-n ;nai-n ;naai-n 
son ainé, son premier-né ;;;;nai-n hnaut ;naai-n hagut 
le petit dernier ;thivaa-n (7) 
son neveu croisé ;kacim ne nyang ;kaven ;kape-n/ kacim ne-ek ;kave-n ;kave-n 
son petit-fils ;Paguu-n ;paguu-n ;paguu-n ;paguu-n ;paguu-n 
son époux ;kaloo-n ;kaloo-n ;kaloo-n ;kaloo-n ;kaloo-n 
son épouse ;thoomwa-n ;hnooe-n ;hnoowe-n ;hnooe-n ;ngane-n 
sa bru, mére, son beau-pére son gendre, sa belle- ;phwaa-n ;fwaa-n ;pmwaa-n ;pmwaa-n ;phwaa-n (y) pmwaa-n (W) 
sa belle-soeur (femme parlant de la femme de son frére) ; ive-n ;ive-n ;ive-n ;ive-n ~ je-n ;je-n 
son beau-frére (d'une femme) sa belle~soeur (d'un homme) ;vhalau-n ;vhalau-n ;falau-n ;falau-n ;phalau-n 
pére et enfant ;kee-pwei-n ;kaa-wei-n ;kaa-pwei-n ;kaa-wei-n ;kaa-voi-n 
mére et enfant ;tho-man-hawak (7) kee-pwei-n thoomwa (0} ;hno-men-haok ;hno-men-hyaok ;hno-men-hyaok ;hyaok men cé-n (Y) hyaok men cne-n (W)
les deux époux ;kee-h Loomwa-n ;kaa-hnooe-n ;kaa-hnoowe-n ;kaa~hnooe-n ;kaa~ngane-n 
l'oncle et le neveu ;kaa-poona (T) ;kaa-voona ;kaa-poona ;kaa~voona ;kaa~voona 
la tante paternelle et son neveu ;kee-nakhane-n ;kaa-nahane-n ;kaa-naknane-n ;kaa-nangane-n ;kaa~nangane-n (W) 
les fréres ;kee-tali-n ;kaa-rali-n ;kaa-batne kaa-beta ;kaa-bane/ meevu kaa-bera ;kaa-yali-n/ meevu kaa~bera 
les deux soeurs ;kee-betha ;kaa-berha 
le frére et la soeur ;kee-paapha-n (T) kee-vapha-n (0) ;kaa-vaavhé-n ;kaa-paapme-n ;kaa-vaama-n ;kaa-vaave-n 
les deux cousins croisés ;kaa-beegen (7) ;kaa-beegen ;kaa-beegen ;kaa-beegen ;kaa-beegen 
grand-pére et petit-fils ;kee-paguu-n ;kaa-vaguu-n ;kaa-paguu-n ;kaa~vaguu-n ;kaa-vaguu-n 
belle-mére et gendre ;kee-phw4a-n ;kaa-hwaa-n ;kaa-pmwaa-n ;kaa-mwaa-n ;phwaa-n (Y) 
les deux concubines, les deux soeurs mariées au méme homme ;kee-palai-n (7) ;kaa-valai-n ;kaa-palai-n ;kaa-valai-n ;kaa-valai-n 
les deux belles-soeurs ;;kaa-ive-n ;kaa-ive-n ;kaa-ive-n ~ kaa-ie~n ;kaa-ie-n 
le beau-frére et soeur la belle~ ;kee-vhalau-n ;kaa-vhalau-n ;kaa-falau-n ;kaa-valau-n ;kaa-phalau-n (Y) kaa-valau-n (1) 
clan ;yahun/ tuun (2) punga (0) ;tuun/ punga ;tuun ;tuun/ punga ;tuun (Y) tuun/ punga (WW) 
cour, place devant la chef- ferie ;kae-gu (7) ;kae-gu ;kave-gu ;kave-gu 
chef, grand chef ;théamaa (Tf) ;théamaa ;daahma vahin ;tneamaa ;théadmaa (y) tneamaa (W) 
chef (nom plus récent) ;daahma ;daahma ;daahma ;daama ;juuxac ~w~ juuac 
protocole concernant le chef ;;;;knodoa 
hommes qui entouraient et servaient le chef ;;;;kac le kaawenya ;kac le kaawenya 
son maitre, son patron ;kaapuu-n (7) ;kaauu-n ;kaapuu-n ;kaavuu-n ;kaavuu-n 
maitre de- ;kaapue- (T) ;kaaue- ;kaapue- ;kaavue- ;kaavue- 
maitre du sol ;kaapue-gan-guc (T) ;kaaue-gan-guc ;kaapue-guc ;kaavue-guc ;kaavue-dilic 
maitre des ignames ;;;kaapue-kuuk ;kaavue-kuuk ;kaavue-kuic 
serviteur, sujet ;yabwec (T) ;yabwec ;yabwec ;yabwec ;yabwec 
commander ;;wedo, wedoi ;wedo, wedoi ;wedo, wedoi ;wedo, wedoi 
commander ;pe-thaa (7) ;pe-thia ;;pe-tnua 
royaume, ensemble d'une tr ibu ;nga man thau (7) ;nga men thauk ;nga men thau ;Nga men thau ;nga men thauk 
établir, instituer (= dresser) ;patuki (7) ;parugi ;paruti ;paruxi v parui ;payuri 
loi, régle (= mesure) ;hneng ;hneng ;hneng ;hneng cnegu ;hnyeng 
interdit, commandement ;ségu (T) pathén (0) ;ségu ;cnegu ;;(Y) c&égu cnegu (W) 
son devoir, sa t&che, sa charge ;hmani-n (2) ;hmeni-n ;hmeni-n ;hmeni-n ;pao-n 
autochtone, du pays ;kapuehna (T) kawena (0) ;kauehna ;kavuehna ;kavuena ;kavuenya 
étranger, nouveau ;kaca ;kaya ;kaca ;kaya ;kaya 
Blancs, Européens ;pupwaale (7) ;pupwaale ;pwapwaale ;pupwaale ;daalae-n
hom, son nom ;yat. yala-n ;yat,s yale~-n ;yat. yale-n ;yat, yale-n ;yat, yale-n 
son homonyme ;bee-n yala~n ;bee-n yale-n ;bee-n yale-n ;beenale-n ;beenale-n kaa-ve-beenale-n (W) 
les deux homonymes ;maan duaman (7) ;duaman ;duaman ;duaman 
prénom du fils ainé du chef ;théa ;thea ;tnea ;tnea ;théa (Y) tnea (WwW) 
prénom du cadet du chef ;;hmweau ;hmweyau ;hmweau ;hmweau 
prénom de la fille ainée du chef ;;kaavo ;kaapo ;kaavo ;kaavo 
prénom de la fille ca- dette du chef ;;hixe ;hike ;hixe ;_hixe 
richesses traditionnelles ;thddt ;thédt (7) ;tnoot ;tnoot 
ses affaires ;thuya-n (7) ;thuye-n | ;naamuu-n ;naamuu-n ;naamuu-n 
c'est 4 lui, c'est son bien ;;aman ne-yek ;;nea-n ;de dek (Y) 
le sien (en parlant des ani- maux domestiques ou de cer- tains biens privés)(= "son enfant") ;nai-n (capwek) ;nai-n (cawek) ;nai-n (capwek) ;nai-n (cawek) ;naai-n (cawek) 
sa portion de riviére, son territoire de péche (dans un cours d'eau) ;;;thidue-n ;thidue-n ;thidue-n 
talismans qui attirent la puissance et les richesses ;;;;jabitoolea/ ha-mia-pwaja 
économies, monnaies qu'on garde en réserve (pour les fetes coutumiéres) ;jila (T) ;jila ;jila ;jila ;jila 
pour chacun (de nous) ;pe-hyavataa-i (T) ;pe~hyaveraa-i ;pe-hyavataa-j ;pe-hyaraa~i ;pe~hyaraa-i (Y) 
Monnaie traditionnelle en coquillage ;thawe ;thewe ;thewe ;thewe ;theo [ thea} 
monnaie de perles trés fines ;nae~thawe (T) ;;;naye-thewe 
sachet de la monnaie ;nga-n thawe ;nge-n thewe ;unaanu/ nge-n thewe ;Nnge-n thewe ;keruk 
sparterie de la monnaie ;hwa-n thewe ;hwa-n thewe ;hwa-n thewe ;hwa-n thewe ;hwa-n theo [ thea ] 
monnaies de perles blan~ ches (les moins précieuses) ;weem (T) ;weem ;weem ;weem ;weem/ doo-n yexic (Y) weem (W)
monnaies de perles noires (les plus précieuses) ;duu-thawe ceen~thewe (T) thamaa-pijing (T) ;, duu-thewe ceen-thewe hyan-doo-n hweet hyan-caba thamaa-pi jing ;due-thewe doo-n hamak ;duu-thewe ceen-thewe hyan-doo-n hweet hyan-caba doo-n hamak ;[thee] [thea] jue-theo ceen-theo doo-n hweet doo-n piap 
argent (européen) ;mwani (T) ;mwani ;mwani ;mwani ;mwani 
accumuler, s'enrichir ;thaavi aman (T) ;thaai aman ;thaavi ;thaai ;thaai (W) 
richesses ;hyan~thaap (T) ;hyan thaap ;hyan-thaap ;hyan-thaap ;hyan-thaap (W) 
riche ;ka-thaap (2) ;fwa thddte-n ;ka-thaap ;ka-thaap ;ka-thaap (W) 
donner quelque chose 4 quel- qu'un (poser-main-a Lui) ;na hi-n (Tf) ;na hi-n ;na hi-n ;na-i-n/ na... hi-n ;na hi-n (Y) na-i-n/ na... hi-n (WH) 
offrir, faire don ;pe-vheti (7) ;pe-vheri ;pe-feti ;peeri ;pare 
cadeau, offrande ;pe-vhetek (7) ;pe-vherek ;pe-feti-ek ;peerek/ hyan-peerek ;parek/ hyan-parek 
vendre ;icu (T) ;ju ;icu ;jyu ;iyu 
colporteur ;ka-po-icu (7) ;ka-po-iu ;ka-fe-icu ;ka-po-iyu ;; 
acheter, payer ;thuu (7) ;thuu ;thuu ;thuu ;uvi 
son prix ;thuu-n (P) ;thuu-n ;thuu-n ;thuu-n ;uve-n 
ot gens de l'intérieur et marché traditionnel sur te gens du bord de mer échan-— geaient leurs produits ;la c6- janap (7) ;janap ;janap ;janap ;janap 
pour saluer les offrande h6tes quand on arrive quel- que part ("bout du-voyage") ;hu Le-hmano ;hure-hmeno ;hure-hmeno ;hure-hmeno ;hure-heno 
offrande aux parents de la céte pour leur demander du poisson ;;wahlu (o-n) ;;walu ;walu 
rendre, remplacer ;wagi (T) ;wagi ;wagi ;wagi ;waji 
son remplacant ;waga-n (T) ;wage-n ;wage-n ;wage-n ;waje-n 
contre-don, cadeau en retour ;ulips uliva-n (7) dapit, dapila-n ;ulip, ulie-n ;ulipe ulive-n ;ulip, ulie-n ;ulip, ulie-n 
indemnité, salaire ;;davit, davile-n ;dapit. dapile-n ;davit,s davile-n ;javit, javile-n 
récompense, cadeau pour re- mercier ;sams sama-n (T) ;sam, same-n ;cam ;sam, same-n ;Same Same-n 
dette (="'vie") ;motip ;khé-marip ;;;maric 
acquitté (= pardonné) ;;;uipaac ;Gpaac ;unbaac (Y) unpaac (W) 
avare, égoiste, qui ne par- tage pas ;ka-hmido ;ka-hmido ;ka-hmido ;ka-hmido ;ka-hmido 
voler, dérober (intr.) ;guna ;guna gune ;guna ;guna gune ;guna 
voler, dérober (trans.) ;gune ;;gune ;;gunee 
voleur ;ka-guna ;ka~guna ;ka-guna ;ka-guna ;ka-guna
@tre possédé par le totem ;tuti ;turi ;tuti ;turi ;~curi 
devin ;tutek ;turek ;tutek ;turek ;curek 
voyant ;noga (T) ;noga ;noga ;noga ;noga 
surprendre les secrets de quelqu'un (médicaments) et annuler leur efficacité ;pale-aman (T) ;pare-aman ;pare~aman ;pare-aman ;pare-aman 
parler aux invisibles ;vhavhalo (7) ;vhavhalo ;fafalo ;faalo ;faalo 
ensorceler ;vhemom ;vhemom ;femom ;femom/ phomom ;phomom 
sorcier ;ka-vhemom ;ka-vhemom ;ka-femom ;ka-femom/ ka~vomom ;ka-phomom 
méd icament ;hyatik ;hyarik ;hyatik ;hyarik ;hyarik 
cueillir des plantes magiques ;;;caap ;caap ;caap 
crachoter dicinales des feuilles mé- ;xhuli (aman) ;khuli Caman) ;xhuli Caman) ;khuli ¢aman) ;khuli Caman) 
puissance, vertu de quelque chose ;jinus jinuu-n ;jJinu, jinuu-n ;jinu, jinuu-n ;jinu, jinuu-n ;jinu, jinuu-n ; 
son effet, son résultat ;hawa-n (T) ;hamwe-n ;hawé-n ;hamwe-n ;hamwe-n 
honoraires au guérisseur ;be-tala-aman ;ba-talaai aman ;ba~tala-aman ;ba-tala-aman ;ba-cala-aman 
faire des voeux, des incanta- tions (dans la vapeur de la marmite) ;gaanagoon (T) ;pwaai lo ;gaani goon ;gaanigoon ;gaanigoon 
offrande rituelle ;;hyan-pwaailo ;hyan-gaanigoon ;hyan-gaanigoon ;hyan-gaanigoon/ hyan-pwaai lo 
offrande ;;;faludap ;faludap 
son esprit, son ame ;nawa-n ;nawe-n ;nawe-n ;nawe-n ;jao-n 
Dieu, naturel, esprit d'ancétre diable, génie, étre sur- ;danu ;danu ;danu ;danu ;janu 
petits génies de la forét 4 cheveux longs, elfes ;mwaxheny (7) ;mwakheny ;mwaxheny ;mwakheny ;mwakheny (Y) Mwaxeny (W) 
sorciére qui provoque des inon- dations en se mouchant sur l'eau et noie les femmes de chef en- ceintes pour prendre leur pla- ce ;;;;thori li-hnaan ;tholili-hnaan (y) sorili-hnaan (W) 
nom d'un ogre ;ka-hwii kahyuk (2) ;kavuagoa ;kapuagoa ;kavuagoa ;kavuagoa 
masque ;kutolo/ haphenga (7) hyaphenga (0) ;tholook ;degec ;degec ;degec 
sacré, interdit ;hitei ;hiri ;hiti ;hiri ;hirei cégu (Y)/ cnegu (W) 
interdit, commandement ;ségu (T)/ pathén (0) ;ségu ;cnegu ;enegu 
marques d'interdits (dans les plantations) ;jelep (7) ;jelep ;jelep ;jelep ;jelep 
interdits sexuels (en rap— port avec les cultures) ;potha (0) ;thorai ;pwethai ;pwerai ;pwerai 
mettre un interdit sur un champ, ou un creek, pour en réserver le produit pour une féte A venir ;;;;po-rauxi 
permis, profane ;koha nga (7) ;kohya nga ;kno-koha nga ;koa nga ;kop mwa 
prier ;vhine~aman (T) ;vhine-aman ;fine-aman ;f ine-aman ;phine-aman 
catholiques ;katolik (2) ;katolik ;katolik ;katolik ;katoLik 
protestants ;ka-vhine-aman (7) ;ka-vhine-aman ;ka-fine-aman ;ka-f ine-aman ;kac maayim (Y) 
Bible ;tii hitei (2) ;tdi hiri ;ti hiti ;tii htri ;tii hirei
fate fen général) ;pe~ge-hun (T) ;;ge-hun ;pe-ge/ pe-hwi-aman ;pe-ge/ pe-hwi-aman ;pe-ge 
cérémonie coutumiére (nais- sance, mariage, devil, etc.) ;genaman (7) ;;genaman ;genaman ;genaman ;genaman/ nyeng (Y) genaman ( 
préparer une cérémonie ;po-genaman (7) ;;;pmwa genaman ;po-genaman ;po-genaman/ po-nyeng 
féte des ignames nouvelles ;ge-cilak (T) ;;paraak o cani kuuk ;gen-cilek cani kuuk ;gen-cilek cani kuuk ;cani kuic 
alignement des ignames (le jour de la féte) ;pagi kuuk (7) ;;nyin kuuk ;nyin kuuk ;nyin kuuk ;nyin kuic 
lot de 3 ignames ;maci (T) ;;;maci ;mayi ;maai 
paquet de 2 parts de gibier (roussette ou notou) ;;;wa ;wa ;wa ;wé 
1 part d'anguille ;;;ce ;ce ;ce ;ce 
rituel précédant la féte, of sont consommées des ignames de prémices et des crevettes de riviére (inf. Bas—Coulna) ;;;;;fa-doongany ;; 
rituel de la féte des ignames ot l'on fait bouillir ensem- ble des taros entiers, des Dtoscorea bulbtfera et de l'anguille. Les ignames nou- velles (Dtoseorea alata) sont grillées au feu Coutna) ;;;;;fa-daalamo 
pilou avec chants et danse ;hwai (P) ;;hwai ;hw8i ;hwai ;hwai 
danser, danse ;pila ;;pila ;pila ;pila ;pila 
place de danse ;kae-pila ;;kaa-pila ;kave-pila ;kave-pila ;hman-pila 
danse des femmes du clan uté- rin ;cetho ;;cerho ;cetho ;cero ;cero 
danse des hommes (avec bou- quet de paille 4 la main) ;hneen ;;hneen ;hneen ;hneen ;hneen 
bouquet de paille tenu par les danseurs ;thit ;thit ;thit ;thit ;thit 
battoirs de danse ;bwan-jep (7) dapa (0) ;bwan-jep ;bwan-jep ;bwan-jep ;bwan-jep 
chant, chanter ;(7) kot moota (0) ;kot ;kot ;kot ;kot 
air d'un chant ;geen kot geen moota (0) (T) ;geen kot ;geen kot ;geen kot ;geen kot 
théme d'un chant ;pae-kot (T) pae~moota (0) ;pae-kot ;paye-kot ;paye-kot ;paye-kot 
chanter ensemble ;;hee hun~kot ;heec hun-kot ;heeun-kot ;see-hun-kot (Y) seeun~kot (W) 
flfite ;hago (T) ;hago ;hago ;hago ;go-paik (Y) hago (W) 
jouer de la flite ;ivu hago (T) ;uvi hago ;hivu hago ;uvi hago ;ui go-paik (7) 
jouer de la guitare ;thai gitar (7) ;tha-gitar ;thai gitar ;tha-gitar ;tha-gitar 
raconter (des histoires) ;thuci (7) ;thui ;thuci ;thuyi ;suyi 
parler "sur le bois" ;hoot ;hoot ;hoot ;hoot ;hoot 
conte, légende ;hikhd ;hihd ;hikno ;hingo ;hingo 
mMythe d'origine, récit his- torique ;jahma ;jahma ;jahma ;jama ;jama 
nouvelle, information, his— toire véridique ;jaxhut (T) ;jakhut ;jaxhut ;hwadu ;hwaju 
formule figée pour clore un conte ",.. ter une autre” a toi d'en racon- ;thu-waailo thepuse nga do thuci nga daala-n (Tf) La ;thu-vwaailo thu- pwiye nga thui ra daale-n ;thu-pwaailo thuci nga ra daale-n ;thu-vwaailo thuyi nga ra daale-n ;thu-vwaailo thuwie nga o suyi mwa ya daate-n 
jouer, s'amuser ;pe-thiic (7) ;siia/ pe-sia ;pe-himen ;pe-himen ;pe-himen 
jouer 4 s'attraper ;;;;pe-na-medo ;pe-na-medo 
course ;pe-théén (2) ;pe-thddn ;pe-tneen ;pe-tnoon ;pe-céén (Y) pe~cnoon (Ww)
gagner ;;;;“ganye"/ hen o bwa-n 
ballon, balle ;boon (balle) (T) ;boon ;boon ;boon ;boon 
jouer au ballon ;;pe-ka-boon/ pe-tha-boon ;pe-thai boon ;pe-ka-boon/ pe-tha-boon ;pe-ka-boon/ pe-tha-~boon 
concours pour mesurer sa force ;pe-po-wi (7) ;jihmu/ pe-po-jihmu ;pe-pmwa-jihmu ;pe-po-j imu 
balangoire ;hyagooc (T) ;hyagooc ;hyagooc ;hyagooc ;hyagooc 
jeu de ficelle ;(T) soé suhe (0) ;sté ;cnuhe ;cniue ;thoé 
dréle ;khényat (7) ;khéhnyat ;knohnyat ;knonyat ;kh@hnyat (Y) kneyat (W) 
faire le clown ;thuang (T) ;thuang ;thuang ;thuang ;thuang 
spectacle mimique, représen- tation (scénes bibliques) ;;;;hiac ;céa (Y) 
parole, sa parole ;vhalik, vhali-n (7) vhali (0) ;vhalike vhali-n ;falik, fali-n ;falik, fali-n ;phalik,s phali-n 
langue frangaise ;vhale-pupwaale (T) ;vhare-pupwaale ;fare-pwapwaale ;fare~pupwaale ;daalaen 
parler ;pala ;pala ;pala ;pala ;‘pala 
discuter ;pe-pala ;pe-pala ;pe-pala ;pe-pala ;pe-pala 
parler bas, chuchoter ;pala hyaakhé (7) ;pala hyaahd ;pa-hyaakno hun~pala ek ;pa-hyaango hun-pala ek ;hun-pala dek 
sa voix ;hun-pala nyang (7) ;hun-pata yek 
sa mélodie, son timbre de voix ;geen-vhali-n (T) ;geen-vhali-n ;geen-fali-n ;geen-fali-n ;geen-phali-n 
dire quelque chose 4 quel- qu'un ;peei (na-n nyang) (T) ;peei (na-n yek) ;peei (na ne-ek) ;peei (na ne-ek) ;peei (na Li-ek) 
révéler, faire connaitre ;peei pa-thuuyai (7) ;peei pa-thuuyai ;peei pa-uvaali ;peei pavaali ;peei phavalai 
nouvelle (qu'on rapporte), information ;jaxhut (T) ;jakhut ;jaxhut ;hwadu ;hwaju 
précher ;hwa (T) ;hwa ;hwa ;hwa ;hw 
crier, pousser des hourras en- semble avant d'entreprendre quelque chose (?) ;pe-hut ;pe~hut ;pe-hut ;pe-sat 
discours de réception ;puurhet ;puutnet ;puunet ;puuyet phaja (ti-ek) 
demander, interroger quel- qu'un ;uphwai ;uwai ;upmwai ;umwai, umwa-ek 
demander, interroger (intr.) ;cila (2) ;cila ;cila ;cila ;cila 
demander, interroger (trans. ) ;cile (T) ;cile ;cile ;cile ;cilee 
demander avec insistance ;wabwana (T) ;wabwana/ wago ;wabwana ;wabwana ;wabwana 
casse-pieds, qui insiste ;ka-po-vhaayak (7) ;ka-wago 
tétu, obstiné ;ka-tho hnahna (T) ;hwaajani ;;ka-pajeen (Y) 
répéter ;khd-peei (T) ;khd-peei ;hwaajani ;hwaaj ani 
écouter, entendre ;tena ;tena ;tena ;tena ;tena 
écouter avec attention ;hmajeen (T) ;hmaajeen ;faaten ;faaren ;phaayeen
garder le silence ;ma-pohnuum (7) ;ma-pohnuum ;ma-pohnuum ;ma—ponuum ;ma-pohnuum (Y) ma-ponuum (W) 
garder le silence ;ta-higuk (Tf) ;ta-ma-higuk ;ma~higuk ;ta-higuk 
timide, réservé ;ka-hwoong (T) ;ka-hwoong ;ka-hon ;ka~-hdn ;ka-hin 
muet ;hom ;hom ;hom ;hom ;hom 
crier, appeler, interpeller ;tho ;tho ;tho ;tho ;tho 
crier (aigu) ;khaak = (T) ;khaak ;knaak ;knaak ;khaak (Y) knaak (W) 
crier, pousser des cris ;bua ;bua ;bua ;bua ;bua 
répondre ;hyabe (1) ;hyabe ;hnyabe ;hny abe ;hyabe 
répondre 4 un appel ;hoo/ tahuu ;tahu ;hoo ;hoo 
envoyer, l'envoyer ;pesei, pese-sang (T) ;pehéi, pehé-yek/ vhaxei ;pecne~ek ;penye-ek/ faxei ;peye-ek/ phaxei 
émissaire ;;;ka-pecne ;ka~penye 
avertir, prévenir ;vhanoli jaat (0) (sang) (2) ;jaat, jaati ;jaat, jaali ;jaat., jaali ;jaat, jaali 
3.7.2. Réponses, interpellations, exclamations, jurons ;;;;;; 
oui ;elong ;elong ;elong ;elong ;elong 
non ;koi ;koi ;koi ;koi ;koi 
exclamation d'acquiescement ;;36 ;;86 ;86 
hé! dis donc! (4 une femme) ;hai-do (T) ;hai-do ;hai-do ;hai-do ;hai-jo 
hé! ditesdonc ! (4 deux femmes) ;hai-dau (7) ;hai-dau ;;hai-dau 
hé! disdonc ! (Aun homme) ;(T) hai-do hai-dawe (T) hai-do ;;pia ;pia ;pia 
hé! vous autres ! (4 plusieurs) ;;hai-dawe ;helo-we ;hele-we ;hele-we ~ hele-o 
exclamation pour répondre 4 un appel ;hoo (fF) ;hoo ;hoo ;hoo ;hoo 
bonjour ! ;bosu ;bosu ;bosu ;bosu ;bosu 
au revoir ! (A une personne) (4 deux personnes) (4 plusieurs) ;olaa-m (T) olaa-u (T) olaa-we (7) ;olaa-m olaa-u olaa-we ;olaa-m olaa-u olaa-we ;olaa-m olaa-u olaa-we ;olaa-m olaa-u olaa-o |olaa-a] 
au revoir, & demain ! ;;;;olaa~m newaak nga 
réponse 4 quelqu'un qui a dit au revoir ;coi (T) ;oof ;ooi ;007 
en route! allons~y! (nous 2) ;gasu (T) kasu (0) ;kasu ;kasu ;kasu ;kasu 
en route! allons~y! (nous) ;gase (T) ;kase ;kase ;kase ;kase 
pardon ! ;haakhi hole (Tf) ;haakhi (7) ;haaxhi hole ;haakhi ;haaxi (Y) hole 
merci ! ;;hole ;;hole 
exclamation affective (nos~ talgie, regret, pitié) pau- vre de lui! ;bwaa-n (7) ;bwaa-n ;bwaa-n ;bwaa-n ;bwaa-n 
exclamation de protestation ;akoi (7) ;;;akoi ;akoi 
exclamation ;akoinaa (T) ;;;koinaa ;koinaa 
exclamation de surprise ;;;;kuu ;berekhé-n (Y) berekne-n (W) 
bien fait pour lui pis pour lui ! ;! tant ;;;berekne-n/ ba-taxi-ek 
juron ("sexe de la femme") ;;;;canek 
insultes ;ca-thau-m/ hola thau-m/ hua-n pwa thau-m (T) ;;;hwi-rau-m ca-rau-m go-rau-m 
bon, bien ;koha (2) ;kohya ;koha ;koa ;kop 
aider ;hyage (T) ;hyage ;hyage ;hyage ;hyage 
sauver ;;vha-marip khaali ;;fa-maric knaat, knaali ;pha-maric khaali knaali (Y) (W) 
garder, surveiller ;hoa ;hoa ;hoa ;hoa ;hoa 
soigner, 6élever (enfant) ;movhe (T) ;movhe ;mofe ;moe ;moe 
traiter bien ;po-bwati (7) ;fwai bwari ;pmwai bwati ;pmwai bwari ;pmwai xoi (W) 
prendre soin, ménager, faire durer ;;;hyeep ;hyeep ;hyeep 
consoler, bercer ;;;fa-nyengi ;fa-nyengi ;pha~nyengi 
honorer, respecter ;vha-hun-i (7) ;vha-hun-i naea ;fa-hun-i ;fa-hun-i ;pha~hay-i 
écouter, obéir ;nakaya (T) ;;nakaya ;naxaa ;naxa 
remercier ;po-hole (7) ;po-hole ;hole na ne-ek ;po~hole ;po~hole 
demander pardon ;;thia ;thia ;thia ;thia
cadeau pour demander pardon ;;;;tha-thia ;tha-thia 
demander pardon ;daakhi/ (T) po-daakha-n aman (T) ;daahi ;daakni ;daangi/ po-daakne-n aman ;jaawi 
offrande pour demander pardon ;daakha-n (7) ;daahé~n ;daakne-n ;daange-n ;jaange-n 
se réconcilier ;pe-daakhi (T) ;pe-daahi ;pe-daakni ;pe-daangi ;pe-jaangi 
s'excuser ;haakhi ;haakhi ;haaxhi ;haakhi 
pardonner ;;nehuugis nehuu-yek 
s'améliorer, se corriger ;hona (0) ;hona ;hona ;hona 
mauvais, mal ;taac ;taac ;taac ;taac ;khénuk (y) knenuk (W) 
se tenir mal, avoir une con- duite choquante, indécente ;;yaalic ;yaahlic ;yaalic ;po-yaalic 
qui fait du scandale fou, (= saoil) ;ka-we lo ;ka-welo ;ka-kulang ;ka-kulang ;ka-ku Leng 
qui court les filles ;ka-phweng (T) ;ka~fweng ;ka-phweng ;ka~phweng/ ka-udelo ;ka-udelo ; 
étre orgueilleux ;tu-bahada ;tu-bahada 
désobéir ;po-hun (7) ;po-hun ;pmwa~hun ;po-hun ;po-hac 
mentir ;sip ;sip ;hnany ;hnany ;ton 
tromper quelqu'un ;sivi ;sivi ;hnagics hnagii ;hnagics hnagii ;Loni 
tromper, abuser ;;pe-thad ;ka-tnua ;pe-tnua ;pe-thaa (yY) pe-tnua (iW) 
jouer des tours, "couillonner"” ;pe-pula (7) ;pe~pula ;pe-phupic ;pe-pula ;pe-phuvic 
se moquer de quelqu'un ;pe-thuagic (7) ;pe-thuagic ;pe-thuagic ;pe-thuagic ;pe-thulaac (Y) pe-thuanic (W) 
rire, se gausser de quelqu'un ;ngaadi (T) ;ngaadi ;ngaadi ;ngaadi ;ngaadi 
accuser ;hyarukhd (7) pe-petuuc (7) ;hyaruhd ;hyarukno ;hyarungo ;hyayungo 
médire, dire du mal de ;;pe-peruuc ;pethuuc ;pe-peruuc ;pe-peyuuc 
nier ;wec, wei ;wec, wei ;wec, wei ;wec. wei ;wec, wei 
s'entéter (= forcer pour pas- ser) ;waatia (7) ;waaria ;waatia ;waaria ;waaria 
se disputer pour avoir le der- nier mot ;pe-waatia (T) ;pe-waaria ;pae-waatia ;pe-waaria ;pe-waaria 
gronder, réprimander ;;mahu ;mahu ;mau, maui ;mau, maui 
se disputer ;;pe-mahu ;pe~-mahu ;pe-mau ;pe-mau 
gronder, disputer ;pepaek, pee-sang ;pevaak, pee-yek ;;;calo 
maugréer, rouspéter, bou- gonner ;talo (T) ;talo ;talo ;talo 
insulter, maudire ;pe-thopeec (7) ;pe-thoveec ;thopee—ek ;pe-thoveec ;pe-thoeec thoo-ek 
maudire (quelqu‘'un) ;thoo-sang (T) ;thoo-yek ;thooi, thoo-ek 
insulter ;;hwa-thaara 
jurer, dire des grossiéretés ;pe-hakhét (7) ;pe-hahat ;pe-haknac ;pe-hangac ;pe-hangac 
engueuler ;pe-hwa-taac (7) ;hwa-taac (na-n yek) ;hwa-taac (na ne-ek) ;hwa-taac (na ne-ek) 
manquer de respect ;ka-cuukhi (7) ;hwa~-cuuhi fwénuui ;hwa-cuukni ;hwa-cuungi pwenuui 
embéter, empécher, déranger ;phwénuui (7) ;;;;pwenuui 
contraindre, obliger ;;;tia ;tia po-knuuk ;tia 
faire du travail forcé ;po-khddk (7) ;po-khddk 
faire du scandale, chercher la bagarre ;po-thi-khdtk (7) ;po-thi-khdiik 
faire du tort, maltraiter ;po-taac (T) ;;pmwa hyarugeeny ;po-hyarugeeny ;yauunya (Y) 
faire du tort, nuire 4, gas- piller ;po-hyaphé (7) ;po-hyahd ;pmwa hyapmo ;po-amo ;po-hyavo (Y) 
faire du tort (involontaire- ment) ;thothio (7) ;po-thio ;thothio ;thorio 
